time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446200000	16.2984	4.3895	5.19483	0.713983	0.397753	lidar	0.248987	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5091	4.55337	5.21168	0.72315	0.378016	radar	0.708484	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.689	4.71643	5.1881	0.741007	0.377266	lidar	0.47498	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8353	4.92461	5.11479	0.807349	0.480756	radar	4.16093	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9988	5.14593	5.1407	0.849229	0.505129	lidar	0.290698	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1677	5.32122	5.11476	0.868896	0.503088	radar	1.78199	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3291	5.49461	5.08811	0.884945	0.491433	lidar	0.289319	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4838	5.66974	5.04654	0.907062	0.49835	radar	3.26108	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6835	5.78073	4.9816	0.882601	0.432519	lidar	2.37521	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8231	5.98491	4.95667	0.923755	0.477175	radar	0.870002	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0002	6.16699	4.9598	0.930707	0.453632	lidar	0.876285	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1487	6.37734	4.97756	0.954468	0.452203	radar	0.654275	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2694	6.61212	4.99991	0.995141	0.476447	lidar	0.346935	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.3995	6.82978	5.00234	1.02445	0.487353	radar	0.172256	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5527	6.95827	4.91054	1.01035	0.437798	lidar	2.49893	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
